GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,com.sugarspoon.eventcheckin.ui.base,BaseViewModel,0,19,0,0,0,3,0,3,0,3
app,com.sugarspoon.eventcheckin.utils,FlowExtensionKt,6,46,0,0,3,4,0,2,0,2
app,com.sugarspoon.eventcheckin.utils,SingleLiveEvent,40,17,4,0,9,5,5,2,3,2
app,com.sugarspoon.eventcheckin.utils,UtilsExtensionsKt,227,0,16,0,29,0,16,0,8,0
app,com.sugarspoon.eventcheckin.repositoryfake,Repository,48,3,0,0,16,1,4,1,4,1
app,com.sugarspoon.eventcheckin.ui.details,DetailsViewModel,0,66,1,3,0,11,1,5,0,4
app,com.sugarspoon.eventcheckin.ui.events,EventsViewModel,3,81,2,4,0,12,2,5,0,4
app,com.sugarspoon.eventcheckin.ui.widgets,MessageBottomDialog,230,0,4,0,42,0,12,0,10,0
app,com.sugarspoon.eventcheckin.ui.widgets,MessageDialogFactory,56,0,0,0,15,0,4,0,4,0
app,com.sugarspoon.eventcheckin.ui.widgets,SubscribeBottomDialog,319,0,26,0,48,0,26,0,13,0
app,com.sugarspoon.eventcheckin.events,Repository,48,3,0,0,16,1,4,1,4,1
